"","species","75","150","300"
"89","Klebsiella variicola",19.4540513110703,33.5009791553755,51.1377196663908
"90","Kytococcus sedentarius",98.9981047862032,99.5399725809933,99.8612320281432
"91","Leclercia adecarboxylata",58.9547003210361,79.8453816384204,89.8801752875936
"92","Legionella anisa",96.6694379530062,97.3896113651014,97.5057347945703
"93","Legionella feeleii",0,0,0
"94","Legionella longbeachae",98.4414998446189,99.4038514268495,99.6207861495246
"95","Legionella maceachernii",0,0,0
"96","Legionella wadsworthii",0,0,0
"97","Leptotrichia buccalis",86.8274271510611,96.0356074749226,98.4722339615591
"98","Listeria monocytogenes",91.5604386412732,97.3324010254119,98.6244503224165
"99","Moraxella osloensis",93.5893605543601,98.8205866601967,99.4134269173287
"100","Mycobacterium gordonae",97.2563561547133,98.6955358162849,99.2420074620663
"101","Mycobacterium kansasii",98.7995953229414,99.7054425196278,99.9170381593233
"102","Mycobacterium marinum",32.554847841472,51.4150943396226,71.7159763313609
"103","Mycobacterium parascrofulaceum",0,0,0
"104","Mycobacterium scrofulaceum",0,0,0
"105","Mycobacterium szulgai",0,0,0
"106","Mycobacteroides abscessus",98.1255814716259,98.1476557948307,98.2063172033242
"107","Mycobacteroides chelonae",96.7395426510453,98.3194673229542,99.0864879145635
"108","Mycobacteroides immunogenum",96.9488456603052,97.4177740613996,97.5827272464974
"109","Neisseria flavescens",77.774229279031,94.011398672592,97.5973008773308
"110","Neisseria gonorrhoeae",81.4857461657814,95.0685592505128,98.4738901725211
"111","Neisseria lactamica",77.1828888742662,92.4107584322221,97.4818301684551
"112","Neisseria meningitidis",77.5670283067038,93.8851753250491,97.9765502165406
"113","Neisseria mucosa",64.9532647694883,87.3828195492323,95.3419533563382
"114","Nocardia abscessus",0,0,0
"115","Nocardia arthritidis",99.6685573091917,99.8935469839054,99.9967775199794
"116","Nocardia beijingensis",0,0,0
"117","Nocardia cyriacigeorgica",98.5964035300076,99.0302883939749,99.404427125168
"118","Nocardia farcinica",98.6462685399477,99.7462730401184,99.9282400218325
"119","Nocardia nova",99.6090615104294,99.974284978063,99.9904142897152
"120","Nocardia otitidiscaviarum",99.5505521571478,99.9269939760086,99.9930001399972
"121","Nocardia transvalensis",0,0,0
"122","Nocardia veterana",0,0,0
"123","Pandoraea pulmonicola",99.0735711067728,99.7200985941071,99.8352625372192
"124","Pantoea agglomerans",94.6220609709713,98.5223918103646,99.2923419823489
"125","Parvimonas micra",94.3615230825584,96.9858308449592,98.0187163979042
"126","Pasteurella multocida",67.9530684179037,87.0423564435816,96.5984605615792
"127","Pediococcus acidilactici",84.8384798138736,95.5889457626491,97.908426937456
"128","Porphyromonas gingivalis",98.0873476590631,99.1075595233078,99.2733158850606
"129","Prescottella equi",98.8898192961155,99.6601944750317,99.8590740662846
"130","Prevotella intermedia",92.7109326719921,95.8101677735787,97.1066162886324
"131","Prevotella melaninogenica",96.3173594805482,97.4119058033354,97.9524650392163
"132","Proteus mirabilis",91.3771561291987,93.3154847742554,93.933114785469
"133","Proteus penneri",84.9311777055931,92.3800665105065,94.6729050529731
"134","Proteus vulgaris",87.8794018721808,93.9419500058014,95.6436658537153
"135","Providencia stuartii",17.2722045406495,30.3192819399775,45.4304857566759
"136","Pseudomonas aeruginosa",33.8829634895111,51.3062957177039,73.8776148303888
"137","Pseudomonas fluorescens",88.1694526270771,96.3165446733428,97.9114748718529
"138","Pseudomonas putida",16.2795259697118,25.8670748145259,40.5918204509756
"139","Ralstonia pickettii",0.0449640287769784,0,0
"140","Raoultella ornithinolytica",17.5939149432914,31.6920953785051,47.7173942975649
"141","Raoultella planticola",84.6679440032726,93.3731160254445,96.1326019829905
"142","Rickettsia rickettsii",29.4359697851453,52.2801757712035,70.4135377170594
"143","Rothia dentocariosa",98.5746508280002,99.5263427687507,99.7265360029081
"144","Rothia mucilaginosa",99.7280520390283,99.9457476368162,99.9920797559726
"145","Salmonella enterica",41.1782699589122,64.4536164296548,84.7434732751435
"146","Schaalia meyeri",99.5935438761433,99.923179108342,99.9896457784962
"147","Schaalia odontolytica",99.1645097716272,99.7231722728881,99.9109114875803
"148","Segatella buccae",0,0,0
"149","Serratia marcescens",69.7969437308482,88.864575816936,96.3568606601546
"150","Shewanella putrefaciens",36.1160604793678,56.3073259069943,72.9030328847749
"151","Slackia exigua",0,0,0
"152","Sphingomonas paucimobilis",97.2924054298837,98.2772025172253,98.452414969471
"153","Staphylococcus aureus",14.3710821402448,23.2079295106836,53.1799505473088
"154","Staphylococcus epidermidis",93.4481310373793,95.2120957580848,96.752425137073
"155","Stenotrophomonas maltophilia",66.9826305901189,79.7569586754466,87.2115690129041
"156","Streptobacillus moniliformis",97.0240215744702,99.5523630370728,100
"157","Streptococcus agalactiae",27.4465322399956,43.7687639879153,58.4769559627696
"158","Streptococcus anginosus",53.0731585169721,74.1373135724175,85.311512040955
"159","Streptococcus constellatus",36.9063234609541,57.3324590546608,72.7944926313115
"160","Streptococcus dysgalactiae",36.4638030511205,51.9455775240605,71.6067210687261
"161","Streptococcus equinus",90.0759898352775,96.3694803272164,98.1263936329128
"162","Streptococcus gordonii",95.627751454784,98.6653401992418,99.1181699709054
"163","Streptococcus iniae",97.289156626506,99.0963855421687,99.6372430471584
"164","Streptococcus intermedius",84.0408852905288,94.5861648438249,98.01554463541
"165","Streptococcus mitis",80.665564474693,92.5801170511056,95.5813505656626
"166","Streptococcus mutans",95.7914572864322,99.2462311557789,99.9370277078086
"167","Streptococcus oralis",81.0415511331177,92.828788864114,95.9406495747798
"168","Streptococcus pneumoniae",83.0362084111524,93.9866314428633,97.1992102737947
"169","Streptococcus pyogenes",82.4789097988319,90.525632706035,95.6578517793013
"170","Streptococcus sanguinis",95.702998734954,98.7494532176154,99.4378877962027
"171","Streptococcus sobrinus",99.3880326382593,99.909338168631,99.8864410629116
"172","Streptococcus suis",86.783679884621,95.7032318744029,97.9058278428712
"173","Stutzerimonas stutzeri",78.6585486057094,89.4211597399873,93.088530046434
"174","Treponema vincentii",54.4649450753747,72.1547009672837,83.2459825368023
"175","Trueperella pyogenes",99.1878257164102,99.7075129059129,99.9545023710151
"176","Tsukamurella pulmonis",98.363359678382,99.6515627698081,99.8729584397309
"177","Tsukamurella tyrosinosolvens",97.8744676444564,99.5830507482896,99.9238624620527
"178","Ureaplasma parvum",90.7489089269396,96.5156416166649,98.3726794234689
"179","Veillonella parvula",97.8670090172614,99.1466020349366,99.5921617220652
"180","Williamsia muralis",0,0,0
"181","[Eubacterium] brachy",0,0,0
"182","[Eubacterium] nodatum",0,0,0
"183","[Haemophilus] ducreyi",99.1521197007481,99.9251683711649,99.9750124937531
