accession,tax_id,superkingdom,phylum,class,order,family,genus,species,superkingdom_taxid,phylum_taxid,class_taxid,order_taxid,family_taxid,genus_taxid,species_taxid
NZ_CP127188.1,1639,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Listeria,Listeria monocytogenes,2,1239,91061,1385,186820,1637,1639
NZ_CP032819.1,2093856,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Odoribacteraceae,Butyricimonas,Butyricimonas faecalis,2,976,200643,171549,1853231,574697,2093856
NZ_CP073804.1,1855823,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Macrococcoides,Macrococcoides canis,2,1239,91061,1385,90964,3076173,1855823
NZ_CP027235.1,712310,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,Haemophilus sp. oral taxon 036,2,1224,1236,135625,712,724,712310
NC_076103.1,12475,Viruses,Undefined phylum in Viruses,Undefined class in Viruses,Undefined order in Viruses,Kolmioviridae,Deltavirus,Hepatitis delta virus,10239,10239,10239,10239,2842321,39759,12475
NZ_AP019829.2,157687,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Leptotrichia,Leptotrichia wadei,2,32066,203490,203491,1129771,32067,157687
NZ_CP083175.1,2702,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Gardnerella,Gardnerella vaginalis,2,201174,1760,85004,31953,2701,2702
NZ_CP035298.1,1270,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Micrococcus,Micrococcus luteus,2,201174,1760,85006,1268,1269,1270
NZ_CP027286.1,46867,Bacteria,Bacillota,Clostridia,Eubacteriales,Clostridiaceae,Clostridium,Clostridium chauvoei,2,1239,186801,186802,31979,1485,46867
NZ_CP120398.1,90370,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Salmonella,Salmonella enterica,2,1224,1236,91347,543,590,28901
NZ_CP025330.1,273384,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Brevibacteriaceae,Brevibacterium,Brevibacterium aurantiacum,2,201174,1760,85006,85019,1696,273384
NZ_CP027228.1,114527,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Mogibacterium,Mogibacterium diversum,2,1239,186801,3082720,3030910,86331,114527
NZ_CP014150.1,1505,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Paraclostridium,Paraclostridium sordellii,2,1239,186801,3082720,186804,1849822,1505
NZ_CP072236.1,820,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,Bacteroides uniformis,2,976,200643,171549,815,816,820
NZ_CP065983.1,739,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Aggregatibacter,Aggregatibacter segnis,2,1224,1236,135625,712,416916,739
NZ_CP012672.1,56,Bacteria,Myxococcota,Undefined class in Myxococcota,Polyangiales,Polyangiaceae,Sorangium,Sorangium cellulosum,2,2818505,2818505,3031712,49,39643,56
NZ_CP123971.1,1624,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Ligilactobacillus,Ligilactobacillus salivarius,2,1239,91061,186826,33958,2767887,1624
NC_001612.1,138948,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Enterovirus,Enterovirus A,10239,2732408,2732506,464095,12058,12059,138948
NZ_CP033459.1,2133944,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Pseudoprevotella,Pseudoprevotella muciniphila,2,976,200643,171549,171552,2884814,2133944
NZ_CP013476.1,1712675,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Turicibacteraceae,Turicibacter,Turicibacter sp. H121,2,1239,526524,526525,2810281,191303,1712675
NC_001348.1,10335,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Varicellovirus,Varicellovirus humanalpha3,10239,2731361,2731363,548681,3044472,10319,3050294
NZ_CP124126.1,28188,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Capnocytophaga,Capnocytophaga canimorsus,2,976,117743,200644,49546,1016,28188
NZ_CP072385.1,1750,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Arachnia,Arachnia propionica,2,201174,1760,85009,31957,2801844,1750
NZ_CP019668.1,95486,Bacteria,Pseudomonadota,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,Burkholderia cenocepacia,2,1224,28216,80840,119060,32008,95486
NZ_AP019697.1,2582419,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Dialister,Dialister hominis,2,1239,909932,1843489,31977,39948,2582419
NZ_CP034593.1,2496867,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Flaviflexus,Flaviflexus ciconiae,2,201174,1760,2037,2049,1522056,2496867
NZ_CP023474.1,1200792,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Brevibacillus,Brevibacillus brevis,2,1239,91061,1385,186822,55080,1393
NZ_CP054018.1,2047,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Rothia,Rothia dentocariosa,2,201174,1760,85006,1268,32207,2047
NZ_CP121210.1,34085,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Riemerella,Riemerella anatipestifer,2,976,117743,200644,2762318,34084,34085
NZ_CP026548.1,853,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Faecalibacterium,Faecalibacterium prausnitzii,2,1239,186801,186802,216572,216851,853
NZ_CP029462.1,2144175,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Megasphaera,Megasphaera stantonii,2,1239,909932,1843489,31977,906,2144175
NZ_CP089305.1,1613,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Limosilactobacillus,Limosilactobacillus fermentum,2,1239,91061,186826,33958,2742598,1613
NZ_CP008852.1,484770,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Pelosinus,Pelosinus sp. UFO1,2,1239,909932,909929,1843490,365348,484770
NZ_AP019822.1,157692,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Pseudoleptotrichia,Pseudoleptotrichia goodfellowii,2,32066,203490,203491,1129771,2755140,157692
NZ_CP034465.1,2496265,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Jeotgalibaca,Jeotgalibaca ciconiae,2,1239,91061,186826,186828,1470540,2496265
NZ_CP019962.1,1736,Bacteria,Bacillota,Clostridia,Eubacteriales,Eubacteriaceae,Eubacterium,Eubacterium limosum,2,1239,186801,186802,186806,1730,1736
NZ_CP039712.1,2571750,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Vagococcus,Vagococcus zengguangii,2,1239,91061,186826,81852,2737,2571750
NZ_CP011861.1,1648,Bacteria,Bacillota,Erysipelotrichia,Erysipelotrichales,Erysipelotrichaceae,Erysipelothrix,Erysipelothrix rhusiopathiae,2,1239,526524,526525,128827,1647,1648
NZ_CP123403.1,1661,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Trueperella,Trueperella pyogenes,2,201174,1760,2037,2049,1069494,1661
NZ_CP084018.1,437897,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Megamonas,Megamonas funiformis,2,1239,909932,909929,1843491,158846,437897
NZ_CP125806.1,747,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Pasteurella,Pasteurella multocida,2,1224,1236,135625,712,745,747
NZ_CP070914.1,562,Bacteria,Pseudomonadota,Gammaproteobacteria,Enterobacterales,Enterobacteriaceae,Escherichia,Escherichia coli,2,1224,1236,91347,543,561,562
NC_076948.1,11041,Viruses,Kitrinoviricota,Alsuviricetes,Hepelivirales,Matonaviridae,Rubivirus,Rubivirus rubellae,10239,2732406,2732461,2732543,2560066,11040,2846071
NZ_CP025420.1,1348,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,Streptococcus parauberis,2,1239,91061,186826,1300,1301,1348
NZ_CP125315.1,47715,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lacticaseibacillus,Lacticaseibacillus rhamnosus,2,1239,91061,186826,33958,2759736,47715
NZ_CP066811.1,89152,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Peptacetobacter,Peptacetobacter hiranonis,2,1239,186801,3082720,186804,2743582,89152
NZ_AP025575.1,84112,Bacteria,Actinomycetota,Coriobacteriia,Eggerthellales,Eggerthellaceae,Eggerthella,Eggerthella lenta,2,201174,84998,1643822,1643826,84111,84112
NZ_CP084221.1,33959,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Lactobacillus,Lactobacillus johnsonii,2,1239,91061,186826,33958,1578,33959
NZ_CP126077.1,1482,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Virgibacillus,Virgibacillus halodenitrificans,2,1239,91061,1385,186817,84406,1482
NZ_CP050134.2,43768,Bacteria,Actinomycetota,Actinomycetes,Mycobacteriales,Corynebacteriaceae,Corynebacterium,Corynebacterium matruchotii,2,201174,1760,85007,1653,1716,43768
NZ_CP017812.1,1912795,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Boudabousia,Boudabousia tangfeifanii,2,201174,1760,2037,2049,2767318,1912795
NZ_CP104580.1,316,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Stutzerimonas,Stutzerimonas stutzeri,2,1224,1236,72274,135621,2901164,316
NZ_CP033719.1,556499,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Propionibacterium,Propionibacterium acidifaciens,2,201174,1760,85009,31957,1743,556499
NZ_CP118095.1,87541,Bacteria,Bacillota,Bacilli,Lactobacillales,Aerococcaceae,Aerococcus,Aerococcus christensenii,2,1239,91061,186826,186827,1375,87541
NZ_CP040348.1,74426,Bacteria,Actinomycetota,Coriobacteriia,Coriobacteriales,Coriobacteriaceae,Collinsella,Collinsella aerofaciens,2,201174,84998,84999,84107,102106,74426
NC_044045.1,1529918,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Norovirus,Norwalk virus,10239,2732408,2732506,464095,11974,142786,11983
NZ_CP116810.1,258594,Bacteria,Pseudomonadota,Alphaproteobacteria,Hyphomicrobiales,Nitrobacteraceae,Rhodopseudomonas,Rhodopseudomonas palustris,2,1224,28211,356,41294,1073,1076
NZ_CP126983.1,837,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Porphyromonadaceae,Porphyromonas,Porphyromonas gingivalis,2,976,200643,171549,171551,836,837
NZ_CP045696.1,2606626,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Muribaculaceae,Sodaliphilus,Sodaliphilus pleomorphus,2,976,200643,171549,2005473,2815786,2606626
NC_004718.3,227984,Viruses,Pisuviricota,Pisoniviricetes,Nidovirales,Coronaviridae,Betacoronavirus,Severe acute respiratory syndrome-related coronavirus,10239,2732408,2732506,76804,11118,694002,694009
NZ_CP017038.2,712710,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Tannerellaceae,Tannerella,Tannerella serpentiformis,2,976,200643,171549,2005525,195950,712710
NC_003976.2,172314,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Parechovirus,Parechovirus B,10239,2732408,2732506,464095,12058,138954,1803957
NZ_CP034169.1,33945,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus avium,2,1239,91061,186826,81852,1350,33945
NZ_CP012098.1,649756,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Anaerostipes,Anaerostipes hadrus,2,1239,186801,3085636,186803,207244,649756
NZ_CP068103.1,54005,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Peptoniphilus,Peptoniphilus harei,2,1239,1737404,1737405,1570339,162289,54005
NZ_CP040915.1,2589797,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Bogoriellaceae,Georgenia,Georgenia yuyongxinii,2,201174,1760,85006,145358,154116,2589797
NZ_CP069520.1,208479,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Enterocloster,Enterocloster bolteae,2,1239,186801,3085636,186803,2719313,208479
NZ_CP013745.1,656366,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Micrococcaceae,Arthrobacter,Arthrobacter alpinus,2,201174,1760,85006,1268,1663,656366
NZ_CP020566.1,39777,Bacteria,Bacillota,Negativicutes,Veillonellales,Veillonellaceae,Veillonella,Veillonella atypica,2,1239,909932,1843489,31977,29465,39777
NZ_CP098491.1,1423,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Bacillus,Bacillus subtilis,2,1239,91061,1385,186817,1386,1423
NZ_CP115634.1,1117645,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Elizabethkingia,Elizabethkingia anophelis,2,976,117743,200644,2762318,308865,1117645
NZ_CP085178.1,1255,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Pediococcus,Pediococcus pentosaceus,2,1239,91061,186826,33958,1253,1255
NC_001526.4,333760,Viruses,Cossaviricota,Papovaviricetes,Zurhausenvirales,Papillomaviridae,Alphapapillomavirus,Alphapapillomavirus 9,10239,2732415,2732421,2732533,151340,333750,337041
NZ_CP023482.1,1667168,Bacteria,Actinomycetota,Actinomycetes,Micrococcales,Dermabacteraceae,Dermabacter,Dermabacter jinjuensis,2,201174,1760,85006,85020,36739,1667168
NZ_CP031057.1,1748,Bacteria,Actinomycetota,Actinomycetes,Propionibacteriales,Propionibacteriaceae,Acidipropionibacterium,Acidipropionibacterium acidipropionici,2,201174,1760,85009,31957,1912215,1748
NC_001489.1,12092,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Picornaviridae,Hepatovirus,Hepatovirus A,10239,2732408,2732506,464095,12058,12091,12092
NZ_CP040235.1,216816,Bacteria,Actinomycetota,Actinomycetes,Bifidobacteriales,Bifidobacteriaceae,Bifidobacterium,Bifidobacterium longum,2,201174,1760,85004,31953,1678,216816
NC_076165.1,10325,Viruses,Peploviricota,Herviviricetes,Herpesvirales,Orthoherpesviridae,Simplexvirus,Simplexvirus macacinealpha1,10239,2731361,2731363,548681,3044472,10294,3050305
NC_012756.1,644007,Viruses,Uroviricota,Caudoviricetes,Undefined order in Caudoviricetes,Undefined family in Caudoviricetes,Undefined genus in Caudoviricetes,Streptococcus phage PH10,10239,2731618,2731619,2731619,2731619,2731619,644007
NZ_CP097775.1,1406,Bacteria,Bacillota,Bacilli,Bacillales,Paenibacillaceae,Paenibacillus,Paenibacillus polymyxa,2,1239,91061,1385,186822,44249,1406
NZ_CP036259.1,2377,Bacteria,Bacillota,Negativicutes,Selenomonadales,Sporomusaceae,Sporomusa,Sporomusa termitida,2,1239,909932,909929,1843490,2375,2377
NC_001538.1,1891762,Viruses,Cossaviricota,Papovaviricetes,Sepolyvirales,Polyomaviridae,Betapolyomavirus,Betapolyomavirus hominis,10239,2732415,2732421,2732532,151341,1891714,1891762
NZ_CP032364.1,617123,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoanaerobaculum,Lachnoanaerobaculum umeaense,2,1239,186801,3085636,186803,1164882,617123
NZ_CP046246.1,51669,Bacteria,Bacillota,Bacilli,Lactobacillales,Enterococcaceae,Tetragenococcus,Tetragenococcus halophilus,2,1239,91061,186826,81852,51668,51669
NZ_CP047630.1,1366,Bacteria,Bacillota,Bacilli,Lactobacillales,Streptococcaceae,Lactococcus,Lactococcus raffinolactis,2,1239,91061,186826,1300,1357,1366
NZ_AP025569.1,29347,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Lachnoclostridium,[Clostridium] scindens,2,1239,186801,3085636,186803,1506553,29347
NZ_CP016839.1,2756,Bacteria,Bacillota,Bacilli,Bacillales,Listeriaceae,Brochothrix,Brochothrix thermosphacta,2,1239,91061,1385,186820,2755,2756
NZ_CP054494.1,996,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,Flavobacterium columnare,2,976,117743,200644,49546,237,996
NC_000940.1,2849715,Viruses,Pisuviricota,Pisoniviricetes,Picornavirales,Caliciviridae,Sapovirus,Sapporo virus,10239,2732408,2732506,464095,11974,95341,95342
NZ_CP065995.1,1245,Bacteria,Bacillota,Bacilli,Lactobacillales,Lactobacillaceae,Leuconostoc,Leuconostoc mesenteroides,2,1239,91061,186826,33958,1243,1245
NZ_CP029033.1,2495645,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Actinobaculum,Actinobaculum sp. 313,2,201174,1760,2037,2049,76833,2495645
NZ_CP027400.1,34105,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Leptotrichiaceae,Streptobacillus,Streptobacillus moniliformis,2,32066,203490,203491,1129771,34104,34105
NC_001722.1,11709,Viruses,Artverviricota,Revtraviricetes,Ortervirales,Retroviridae,Lentivirus,Human immunodeficiency virus 2,10239,2732409,2732514,2169561,11632,11646,11709
NZ_AP019735.1,2585118,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Alistipes,Alistipes communis,2,976,200643,171549,171550,239759,2585118
NZ_CP015348.1,1571,Bacteria,Bacillota,Bacilli,Bacillales,Planococcaceae,Sporosarcina,Sporosarcina ureae,2,1239,91061,1385,186818,1569,1571
NZ_CP017428.1,1286,Bacteria,Bacillota,Bacilli,Bacillales,Staphylococcaceae,Staphylococcus,Staphylococcus simulans,2,1239,91061,1385,90964,1279,1286
NZ_CP034157.1,237258,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Cloacibacterium,Cloacibacterium normanense,2,976,117743,200644,2762318,501783,237258
NZ_CP039381.1,2564099,Bacteria,Bacillota,Clostridia,Eubacteriales,Oscillospiraceae,Ruminococcus,Ruminococcus bovis,2,1239,186801,186802,216572,1263,2564099
NZ_CP071986.1,210,Bacteria,Campylobacterota,Epsilonproteobacteria,Campylobacterales,Helicobacteraceae,Helicobacter,Helicobacter pylori,2,29547,3031852,213849,72293,209,210
NZ_CP121769.1,738,Bacteria,Pseudomonadota,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Glaesserella,Glaesserella parasuis,2,1224,1236,135625,712,2094023,738
NZ_CP013195.1,76123,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Hoylesella,Hoylesella enoeca,2,976,200643,171549,171552,2974257,76123
NZ_CP068112.1,2051,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Mobiluncus,Mobiluncus curtisii,2,201174,1760,2037,2049,2050,2051
NZ_CP016843.1,2748,Bacteria,Bacillota,Bacilli,Lactobacillales,Carnobacteriaceae,Carnobacterium,Carnobacterium divergens,2,1239,91061,186826,186828,2747,2748
NZ_CP054000.1,1260,Bacteria,Bacillota,Tissierellia,Tissierellales,Peptoniphilaceae,Finegoldia,Finegoldia magna,2,1239,1737404,1737405,1570339,150022,1260
NZ_CP072246.1,357276,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Bacteroidaceae,Phocaeicola,Phocaeicola dorei,2,976,200643,171549,815,909656,357276
NC_011202.1,108098,Viruses,Preplasmiviricota,Tectiliviricetes,Rowavirales,Adenoviridae,Mastadenovirus,Human mastadenovirus B,10239,2732008,2732529,2732559,10508,10509,108098
NZ_CP040004.1,2572088,Bacteria,Candidatus Saccharibacteria,Candidatus Saccharimonadia,Candidatus Nanosynbacterales,Candidatus Nanosynbacteraceae,Candidatus Nanosynbacter,Candidatus Nanosynbacter featherlites,2,95818,2093818,2093819,2093822,2093823,2572088
NZ_CP017042.1,1884263,Bacteria,Bacillota,Negativicutes,Selenomonadales,Selenomonadaceae,Selenomonas,Selenomonas sp. oral taxon 920,2,1239,909932,909929,1843491,970,1884263
NZ_CP124202.1,1421,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Lysinibacillus,Lysinibacillus sphaericus,2,1239,91061,1385,186817,400634,1421
NZ_CP047311.1,303,Bacteria,Pseudomonadota,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,Pseudomonas putida,2,1224,1236,72274,135621,286,303
NZ_CP120209.1,253,Bacteria,Bacteroidota,Flavobacteriia,Flavobacteriales,Weeksellaceae,Chryseobacterium,Chryseobacterium indologenes,2,976,117743,200644,2762318,59732,253
NZ_CP008849.1,589873,Bacteria,Pseudomonadota,Gammaproteobacteria,Alteromonadales,Alteromonadaceae,Alteromonas,Alteromonas australica,2,1224,1236,135622,72275,226,589873
NZ_CP046315.1,1660,Bacteria,Actinomycetota,Actinomycetes,Actinomycetales,Actinomycetaceae,Schaalia,Schaalia odontolytica,2,201174,1760,2037,2049,2529408,1660
NZ_CP072373.1,28129,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,Prevotella denticola,2,976,200643,171549,171552,838,28129
NZ_CP098483.1,40324,Bacteria,Pseudomonadota,Gammaproteobacteria,Lysobacterales,Lysobacteraceae,Stenotrophomonas,Stenotrophomonas maltophilia,2,1224,1236,135614,32033,40323,40324
NZ_CP009709.1,1121088,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Heyndrickxia,Heyndrickxia coagulans,2,1239,91061,1385,186817,2837504,1398
NZ_CP053315.1,1397,Bacteria,Bacillota,Bacilli,Bacillales,Bacillaceae,Niallia,Niallia circulans,2,1239,91061,1385,186817,2837506,1397
NZ_CP013334.1,1307444,Bacteria,Fusobacteriota,Fusobacteriia,Fusobacteriales,Fusobacteriaceae,Fusobacterium,Fusobacterium hwasookii,2,32066,203490,203491,203492,848,1583098
NZ_CP050497.1,69710,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Treponemataceae,Treponema,Treponema vincentii,2,203691,203692,136,2845253,157,69710
NZ_CP030280.1,1912897,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Blautia,Blautia argi,2,1239,186801,3085636,186803,572511,1912897
NZ_CP047591.1,2697030,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Anaerovoracaceae,Aminipila,Aminipila terrae,2,1239,186801,3082720,3030910,2060094,2697030
NZ_CP126076.1,1496,Bacteria,Bacillota,Clostridia,Peptostreptococcales,Peptostreptococcaceae,Clostridioides,Clostridioides difficile,2,1239,186801,3082720,186804,1870884,1496
NZ_CP117966.1,301301,Bacteria,Bacillota,Clostridia,Lachnospirales,Lachnospiraceae,Roseburia,Roseburia hominis,2,1239,186801,3085636,186803,841,301301
